username;date;retweets;favorites;text;hashtags
OWSL_Account;2016-07-08;0;3;Tough game from both extremely talented teams. France goes off to face Portugal in the #EURO2016 winning 2-0 over Germany today!;#EURO2016
joko_harianto;2016-07-08;0;0;Ikutan Prediksi Super Euro 2016 UC untuk dapatkan ponsel canggih! http:// fb.me/75HlEG5k8;
RamiZulfikar;2016-07-08;0;1;Voici l'homme du match #FRAALL #EURO2016 #GERFRA #ALLFRA #Rizzoli #le12emehomme #ilaforc? pic.twitter.com/F1ICL2c1Kj;#FRAALL #EURO2016 #GERFRA #ALLFRA #Rizzoli #le12emehomme #ilaforc
NF1987;2016-07-08;0;0;Dans la famille Jesers?rien?N?importe quoi #Autun #FRAALL #Euro2016 #JSL Cc @lejsl http://www. lejsl.com/edition-autun/ 2016/07/08/euro-2016-une-altercation-met-fin-aux-festivites-xasx ?;#Autun #FRAALL #Euro2016 #JSL
edilberthcava;2016-07-08;0;0;He aqu? el resumen de la #EURO2016 pic.twitter.com/rFC5JHhIgL;#EURO2016
MichelleinWA;2016-07-08;0;0;Meine Deutschland lost to France today in the #Euro2016 semis so I'm? https://www. instagram.com/p/BHlF8hmBDWBJ hCqEjSeELVq3psS0mPoHr9ACWQ0/ ?;#Euro2016
SportsNewsBox1;2016-07-08;0;0;France 2;
cutlip98;2016-07-08;0;0;Allez Les Bleus!!! Jusqu'? dimanche!!! #FRAvGER #EURO2016 pic.twitter.com/UXYYgpH4Pr;#FRAvGER #EURO2016
ideal4utravel1;2016-07-08;0;0;How Grown-Up France Toppled Aging Germany In Epic Euro 2016 Semifinal https:// ideal4utravel.wordpress.com/2016/07/07/how -grown-up-france-toppled-aging-germany-in-epic-euro-2016-semifinal ?;
ressourceinfo;2016-07-08;0;0;Euro 2016 ;
aXLoSC;2016-07-08;0;1;Je ne me suis jamais senti aussi patriote envers mon pays que depuis le d?but de l'Euro;
jihanyz_;2016-07-08;0;0;@AntoGriezmann #EURO2016;#EURO2016
CLKettering;2016-07-08;0;0;Sport News France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears... http:// dailym.ai/29AlphF;
exec_tours;2016-07-08;0;3;Griezmann grabs another brace as France see off Germany to seal home Euro 2016 final (via @football_ie ) http:// the42.ie/2867530;
FeeltheX;2016-07-08;0;0;Voil? pourquoi l' EURO 2016 n'aurait pas du se d?rouler en France. ?a fout un vrai bordel. ?a plus Philippe Martinez et ses manifs.. EHEH;
tipplad;2016-07-08;0;0;Griezmann grabs another brace as France see off Germany to seal home Euro 2016 final (via @football_ie ) http:// the42.ie/2867530;
Actuconakry;2016-07-08;0;0;Euro 2016 : les Bleus;
soccersource;2016-07-08;0;0;As home team there was always the distinct possibility #FRA would see the benefit of some calls... #FRAvGER #EURO2016;#FRA #FRAvGER #EURO2016
aboutshawngirlx;2016-07-08;0;1;#PreorderIlluminateMidnight @ShawnMendes Are you supporting Portugaql in the final of the #EURO2016 ? <3;#PreorderIlluminateMidnight #EURO2016
exivo;2016-07-08;0;0;France overcome sterile Germany to reach Euro 2016 final - Malta Independent http:// fb.me/EkHg1Wci;
AurelienDiaz;2016-07-08;0;0;#hamburger #maison pour voir le match de l'?quipe de #france #euro2016 #finaleuro #allezlesbleus ? https://www. instagram.com/p/BHlF6XUjoqw/;#hamburger #maison #france #euro2016 #finaleuro #allezlesbleus
marionbxlier;2016-07-08;1;2;Dimanche ?a va ?tre le feu pour la finale #FRAPOR #EURO2016;#FRAPOR #EURO2016
BaddaJFT96;2016-07-08;0;4;"Frankrikes Island-feiring"" var bare utrolig pinlig. Hva med ? skape noe eget? Piss poor. #EURO2016""";#EURO2016
GoncalvesSev;2016-07-08;0;0;#Por vs #Fra ?Final! #EURO2016 Ojal? el arbitraje no favorezca a los de casa;
VastuVictory;2016-07-08;0;0;Germany vs. France: Score and Twitter Reaction from Euro 2016 Semi-Finals: Antoine Griezmann fired France to ... http:// bit.ly/29AnqdI;
Xavilavista;2016-07-08;0;0;@LSalvaudon @FFF sure ! Thank you for the Fever and your force in this #EURO2016 love you #ICE;#EURO2016 #ICE
karmughilvannan;2016-07-08;0;0;That was an incredible 2-0 victory for FRANCE against the top favorite GERMANY in the 2nd Semi-Final. #FRA #GER #EURO2016;#FRA #GER #EURO2016
esportesnott;2016-07-08;0;1;Joachim L?w #GER : Euro 2008 - Vice Copa 2010 - Terceiro Euro 2012 - Semifinal Copa 2014 - Euro 2016 - Semifinal pic.twitter.com/aUuPBoEJ3m;#GER
Euro2016_infos;2016-07-08;0;2;Euro 2016 : ? On ?tait pouss? par tout le stade ?;
Euro2016_infos;2016-07-08;0;0;Euro 2016 - Allemagne-FRA Euro 2016 ;
U2Healing;2016-07-08;0;0;#amazing #healing Wales captain Ashley Williams proud AND gutted after amazing Euro 2016 run ends in the semi... http:// bit.ly/29ur1YF;#amazing #healing
Euro2016_infos;2016-07-08;0;0;R?sultats Euro 2016 : le r?sum? et les buts de France - Allemagne http:// bit.ly/29qWkTY #euro2016;#euro2016
ideal4uroadside;2016-07-08;0;0;How Grown-Up France Toppled Aging Germany In Epic Euro 2016 Semifinal https:// ideal4uroadside.wordpress.com/2016/07/07/how -grown-up-france-toppled-aging-germany-in-epic-euro-2016-semifinal ?;
sports_fr;2016-07-08;2;1;"#EURO2016 L?w: Nous avons ?t? meilleurs que la France"" http://www. sports.fr/football/euro- 2016/equipe-de-france/articles/loew-nous-avons-ete-meilleurs-que-la-france-1553277/ ? #ALLFRA #GER pic.twitter.com/jdAoPXGXSQ""";#EURO2016 #ALLFRA #GER
JetSettersFlyIn;2016-07-08;2;4;France Won!! #EURO2016 Vive la France! #FRA #FiersdetreBleus #AllezLesBleus @ILoveMarseille1 @GPassedat pic.twitter.com/zcRaOjipGB;#EURO2016 #FRA #FiersdetreBleus #AllezLesBleus
lamande_maelys;2016-07-08;0;5;Grizou;
alrick_g;2016-07-08;0;0;Une soir?e de r?ve en bleu;
elerianm;2016-07-08;2;11;While exciting #EURO2016 semi-fnl turned on unfortunate #Germany slip in added time;
iam_dapeter;2016-07-08;0;0;Griezmann double sends France into Euro 2016 final #oscrape http:// oscrape.com/p/52948 http:// fb.me/4YiLhQebJ;#oscrape
elsaasch;2016-07-08;0;3;Il est tellement mignon Griezman #FRAALL #EURO2016;#FRAALL #EURO2016
MassiBouagache;2016-07-08;0;0;Apr?s Merci #JacquieEtMichel voici Merci #NicolaRizzoli #FRAALL #ALLFRA #EURO2016;#JacquieEtMichel #NicolaRizzoli #FRAALL #ALLFRA #EURO2016
ac48stoandre;2016-07-08;0;0;. Acho que tenho ate sangue indio;
One_Matth;2016-07-08;0;0;Antes da #Euro2016 eu j? falava o time da #FRA ? emba?ado t? jogando em casa e a camisa ? linda;
GermanTenemaza;2016-07-08;0;0;Partidos finalizados #EURO2016 #Semifinal #Portugal 2-0 #Gales #Francia 2-0 #Alemania El domingo la Gran Final;#EURO2016 #Semifinal #Portugal #Gales #Francia #Alemania
Google_nnews;2016-07-08;0;0;Dimitri Payet? Hal Robson-Kanu? Pick the best goal of Euro 2016 so far: Vote now for your favourite goal of E... http:// fniq.a.boysofts.com/3R7w;
News13Omega;2016-07-08;0;0;ILUMINADO!!! NO MATCH DAY!!! http:// omegan1.blogspot.com.br/2016/07/uefa-e uro-2016_7.html ? #EURO2016 #UefaEuroNaOmega #Semifinal #GER #FRA pic.twitter.com/kYNS2iBaE6;#EURO2016 #UefaEuroNaOmega #Semifinal #GER #FRA
guido_parera;2016-07-08;0;0;tim yang berlaga di EURO 2016 adalah tim-tim terbaik;
LeDL_Grenoble;2016-07-08;2;3;? la Une du DL ce vendredi 8 juillet ! #ALLFRA #allezlafrance #Klaxons #Grenoble #EURO2016 pic.twitter.com/fPGUDp4NPW;#ALLFRA #allezlafrance #Klaxons #Grenoble #EURO2016
GoalTanzania;2016-07-08;0;0;Giroud: France cannot stop now as Euro 2016 final looms http:// dlvr.it/LlMLcj pic.twitter.com/68FMMEpOa4;
EBettingSystems;2016-07-08;0;0;Early betting odds favor France vs. Portugal in Euro 2016 final - http:// FOXSports.com http:// dlvr.it/LlMLNN;
rien_a_fooot;2016-07-08;0;9;Eh bien maintenant L?w peut m?me se les bouffer les couilles #ALLFRA #EURO2016 #Griezmann;#ALLFRA #EURO2016 #Griezmann
rodrigoadrianc2;2016-07-08;0;0;#FRA finiquit? su pase a la final #EURO2016 gracias al penalcito cobrado por Rizzoli. S?;
SN_CA_Soccer;2016-07-08;1;0;Giroud: France cannot stop now as Euro 2016 final looms http:// dlvr.it/LlMLHQ pic.twitter.com/RcQ4SMHIwO;
